Displacement (ccm),Power (hp),Torque (Nm),Dry weight (kg),Wheelbase (mm),Seat height (mm),Category_Custom / cruiser,Category_Naked bike,Category_Sport,Category_Touring
124.0,9.9,9.5,113.0,1330.0,740.0,0,0,1,0
124.0,9.9,9.5,113.0,1330.0,740.0,0,0,1,0
893.0,75.1,73.0,189.0,1463.0,800.0,0,0,1,0
839.0,75.1,73.0,181.0,1463.0,800.0,0,1,0,0
839.3,75.1,73.0,185.0,1463.0,800.0,0,1,0,0
839.3,75.1,73.0,185.0,1463.0,800.0,0,1,0,0
839.3,75.1,73.0,181.0,1463.0,800.0,0,1,0,0
839.3,75.1,73.0,189.0,1463.0,800.0,0,1,0,0
839.3,75.1,73.0,189.0,1463.0,800.0,0,1,0,0
839.3,75.1,73.0,183.0,1463.0,800.0,0,1,0,0
839.3,75.1,73.0,185.0,1463.0,800.0,0,1,0,0
125.0,15.0,15.0,142.0,1345.0,805.0,0,0,1,0
124.2,15.0,10.9,129.0,1353.0,820.0,0,0,1,0
249.0,69.0,40.0,141.0,1370.0,770.0,0,0,1,0
249.0,70.0,40.0,140.0,1370.0,770.0,0,0,1,0
659.0,100.0,67.0,169.0,1370.0,820.0,0,0,1,0
659.0,100.0,67.0,169.0,1370.0,820.0,0,0,1,0
659.0,46.9,67.0,169.0,1370.0,820.0,0,0,1,0
659.0,46.9,67.0,169.0,1370.0,820.0,0,0,1,0
659.0,100.0,67.0,169.0,1370.0,820.0,0,0,1,0
997.6,114.0,95.5,185.0,1435.0,820.0,0,0,1,0
997.6,138.0,107.0,189.0,1410.0,810.0,0,0,1,0
997.6,141.0,107.0,186.0,1418.0,810.0,0,0,1,0
983.3,141.0,101.0,189.0,1418.0,810.0,0,0,1,0
997.6,138.0,107.0,185.0,1410.0,810.0,0,0,1,0
997.6,141.0,101.0,185.0,1418.0,810.0,0,0,1,0
983.3,141.0,101.0,185.0,1418.0,810.0,0,0,1,0
997.6,143.0,101.0,189.0,1418.0,810.0,0,0,1,0
997.6,143.0,101.0,185.0,1418.0,810.0,0,0,1,0
998.0,128.0,105.0,189.0,1415.0,825.0,0,0,1,0
998.0,128.0,101.0,187.0,1415.0,820.0,0,0,1,0
997.6,130.0,101.0,187.0,1415.0,820.0,0,0,1,0
997.6,130.0,99.0,187.0,1415.0,825.0,0,0,1,0
997.6,130.0,99.0,185.0,1415.0,820.0,0,0,1,0
997.6,138.0,107.0,185.0,1418.0,810.0,0,0,1,0
997.6,141.0,107.0,175.0,1418.0,810.0,0,0,1,0
997.6,141.0,107.0,175.0,1435.0,810.0,0,0,1,0
998.0,128.0,105.0,185.0,1415.0,825.0,0,0,1,0
998.0,128.0,101.0,183.0,1415.0,820.0,0,0,1,0
997.6,130.0,101.0,183.0,1415.0,820.0,0,0,1,0
998.0,118.0,95.6,190.0,1415.0,815.0,0,0,1,0
1099.0,217.0,122.0,177.0,1439.0,840.0,0,0,1,0
1099.0,217.0,125.0,179.0,1439.0,845.0,0,0,1,0
1078.0,217.0,122.0,177.0,1439.0,851.0,0,1,0,0
1078.0,217.0,122.0,177.0,1439.0,851.0,0,0,1,0
1099.0,217.0,122.0,177.0,1439.0,840.0,0,0,1,0
998.2,180.0,115.0,179.0,1424.0,810.0,0,0,1,0
999.6,180.0,115.0,179.0,1412.0,845.0,0,0,1,0
1099.0,217.0,122.0,177.0,1439.0,840.0,0,0,1,0
999.6,184.0,117.0,186.0,1420.0,845.0,0,0,1,0
999.6,180.0,115.0,184.0,1420.0,845.0,0,0,1,0
999.6,184.0,117.0,186.0,1420.0,845.0,0,0,1,0
999.6,201.0,115.0,180.0,1420.0,845.0,0,0,1,0
999.6,201.0,115.0,180.0,1420.0,845.0,0,0,1,0
999.6,201.0,115.0,180.0,1420.0,845.0,0,0,1,0
999.6,201.0,115.0,180.0,1420.0,845.0,0,0,1,0
999.6,201.0,115.0,180.0,1420.0,840.0,0,0,1,0
999.6,201.0,115.0,180.0,1420.0,840.0,0,0,1,0
999.6,201.0,115.0,180.0,1420.0,845.0,0,0,1,0
999.6,201.0,115.0,180.0,1420.0,845.0,0,0,1,0
999.6,201.0,115.0,180.0,1420.0,845.0,0,0,1,0
999.6,201.0,115.0,180.0,1420.0,845.0,0,0,1,0
999.6,201.0,115.0,180.0,1420.0,840.0,0,0,1,0
999.6,201.0,115.0,180.0,1420.0,840.0,0,0,1,0
999.6,201.0,115.0,180.0,1420.0,840.0,0,0,1,0
749.9,95.0,80.9,193.0,1440.0,810.0,0,1,0,0
749.9,95.0,80.9,193.0,1440.0,810.0,0,1,0,0
749.9,95.0,80.9,193.0,1440.0,810.0,0,1,0,0
749.9,95.0,80.9,193.0,1440.0,810.0,0,1,0,0
896.1,95.2,90.0,193.0,1440.0,810.0,0,1,0,0
896.1,95.2,90.0,193.0,1440.0,810.0,0,1,0,0
896.0,93.0,90.0,207.0,1440.0,810.0,0,1,0,0
896.0,95.0,90.0,207.0,1465.0,810.0,0,1,0,0
896.0,95.0,90.0,199.0,1465.0,810.0,0,1,0,0
896.1,95.0,90.0,199.0,1465.0,810.0,0,1,0,0
896.1,46.9,90.0,199.0,1465.0,810.0,0,1,0,0
749.9,95.0,80.9,189.0,1440.0,810.0,0,1,0,0
749.9,95.0,81.0,189.0,1440.0,810.0,0,1,0,0
997.6,138.0,101.0,185.0,1415.0,820.0,0,0,1,0
997.6,136.0,107.0,185.0,1410.0,810.0,0,1,0,0
997.6,136.0,107.0,185.0,1410.0,810.0,0,1,0,0
997.6,130.0,101.0,185.0,1415.0,820.0,0,0,1,0
997.6,138.0,96.0,189.0,1415.0,820.0,0,1,0,0
997.6,136.0,107.0,181.0,1410.0,810.0,0,1,0,0
997.6,136.0,107.0,181.0,1410.0,810.0,0,1,0,0
997.6,136.0,107.0,181.0,1410.0,810.0,0,1,0,0
997.6,139.0,107.0,185.0,1410.0,810.0,0,0,1,0
997.6,136.0,107.0,185.0,1410.0,810.0,0,1,0,0
997.6,139.0,107.0,181.0,1410.0,810.0,0,0,1,0
124.2,15.0,10.9,129.0,1350.0,810.0,0,1,0,0
124.2,15.0,11.2,129.0,1350.0,810.0,0,1,0,0
997.6,136.0,107.0,185.0,1410.0,810.0,0,1,0,0
1077.0,175.0,121.0,185.0,1450.0,825.0,0,1,0,0
1077.0,175.0,121.0,185.0,1452.0,87.0,0,1,0,0
1077.0,173.0,120.0,182.0,1445.0,825.0,0,1,0,0
1077.0,175.0,120.0,184.0,1445.0,825.0,0,1,0,0
1077.0,175.0,121.0,184.0,1445.0,825.0,0,1,0,0
1077.0,175.0,121.0,184.0,1445.0,825.0,0,1,0,0
1077.0,201.0,121.0,184.0,1442.0,825.0,0,1,0,0
1077.0,175.0,121.0,185.0,1450.0,825.0,0,1,0,0
1077.0,175.0,121.0,185.0,1450.0,825.0,0,1,0,0
1077.0,173.0,120.0,182.0,1445.0,825.0,0,1,0,0
1077.0,175.0,120.0,184.0,1445.0,825.0,0,1,0,0
1077.0,175.0,120.0,184.0,1445.0,825.0,0,1,0,0
1077.0,175.0,120.0,184.0,1445.0,825.0,0,1,0,0
1077.0,201.0,115.0,184.0,1442.0,825.0,0,1,0,0
1077.0,173.0,121.0,185.0,1450.0,825.0,0,1,0,0
